num__CZAS_POSIADANIA|num__L_WIAD_POCZTA_G|num__DZIEN_MIN|num__DZIEN_L_POL|num__DZIEN_OPLATA|num__WIECZOR_MIN|num__WIECZ_L_POL|num__WIECZ_OPLATA|num__NOC_MIN|num__NOC_L_POL|num__NOC_OPLATA|num__MIEDZY_MIN|num__MIEDZY_L_POL|num__MIEDZY_OPLATA|num__L_POL_BIURO|cat__STAN_9|cat__STAN_MISSING|cat__KOD_OBSZARU_408.0|cat__KOD_OBSZARU_415.0|cat__KOD_OBSZARU_510.0|cat__KOD_OBSZARU_9.0|cat__KOD_OBSZARU_MISSING|cat__PLAN_MIEDZY_0.0|cat__PLAN_MIEDZY_9.0|cat__PLAN_MIEDZY_MISSING|cat__POCZTA_G_0.0|cat__POCZTA_G_1.0|cat__POCZTA_G_9.0|cat__POCZTA_G_MISSING|REZYGN
||||1126.75|197.4||||4550.0|||||25.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|1300.0||12300.0|686.75||10300.0|||103.0||685.0||3.7||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0
-3425.0||24340.0||1034.5|6060.0||10.3||-2600.0||12.2|500.0|3.29|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0
|0.0||71.0||6190.0||||||165.0|||100.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
||-4167.5|11300.0|-708.5|7415.000000000001|12200.0|315.25|||841.0|||||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|0.0|||37.98|||468.75|-5097.5||9.18|||170.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
6050.0|2400.0||88.0||||29.62|||-239.25||-175.0|||0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
7350.0|0.0||-1975.0||2577.5||438.0|||||-150.0|-48.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
|0.0|||||80.0|||||217.5|-100.0|||1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0
14100.0|||84.0|||111.0|||9700.0||280.0||302.0||1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
65.0||3227.5||548.75|228.5||||||||85.75||1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|1
3700.0|0.0||||-4085.0||||2350.0|220.5|-227.5||||0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0
|0.0|128.8|96.0|21.9|2622.5|71.0|||||11.2||||0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|-0.0|156.6|||||||2875.0|432.5|||||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
|0.0||||-7680.0||1305.5|203.0||9.14||6.0|||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
|0.0|||||97.0|||6400.0||||||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1
2125.0|27.0|||33.39||9000.0|23.88|||-100.5|-345.0||-93.25|50.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
