num__CZAS_POSIADANIA|num__L_WIAD_POCZTA_G|num__DZIEN_MIN|num__DZIEN_L_POL|num__DZIEN_OPLATA|num__WIECZOR_MIN|num__WIECZ_L_POL|num__WIECZ_OPLATA|num__NOC_MIN|num__NOC_L_POL|num__NOC_OPLATA|num__MIEDZY_MIN|num__MIEDZY_L_POL|num__MIEDZY_OPLATA|num__L_POL_BIURO|cat__STAN_9|cat__KOD_OBSZARU_408.0|cat__KOD_OBSZARU_415.0|cat__KOD_OBSZARU_510.0|cat__KOD_OBSZARU_9.0|cat__PLAN_MIEDZY_0.0|cat__PLAN_MIEDZY_1.0|cat__PLAN_MIEDZY_9.0|cat__POCZTA_G_0.0|cat__POCZTA_G_1.0|cat__POCZTA_G_9.0|REZYGN
100.0|25.0|265.1|110.0|30.564999999999998|197.4|99.0|17.095|203.0|100.0|11.01|10.0|4.0|2.7|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
107.0|26.0|179.45|123.0|30.564999999999998|195.5|100.0|17.095|254.4|100.0|9.11|13.7|4.0|2.78|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
100.0|0.0|179.45|114.0|41.38|201.4|110.0|17.095|162.6|104.0|7.32|12.2|4.0|3.29|-0.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
84.0|0.0|299.4|101.0|50.9|61.9|100.0|5.26|196.9|89.0|8.86|6.6|7.0|1.78|1.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0
75.0|-0.0|166.7|113.0|28.34|148.3|100.0|12.61|203.0|121.0|8.41|10.1|3.0|2.78|1.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0
118.0|0.0|223.4|98.0|37.98|220.6|100.0|18.75|203.0|118.0|9.18|6.3|6.0|1.7|1.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0
100.0|0.0|218.2|101.0|37.09|201.4|108.0|29.62|212.6|118.0|9.57|7.5|7.0|2.03|1.0|1.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
147.0|0.0|179.45|101.0|30.564999999999998|103.1|94.0|17.095|211.8|96.0|9.11|10.3|6.0|1.92|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
117.0|0.0|179.45|97.0|30.564999999999998|351.6|80.0|17.095|215.8|90.0|9.71|10.3|4.0|2.35|1.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
141.0|37.0|179.45|84.0|43.96|222.0|100.0|18.87|326.4|97.0|14.69|11.2|5.0|2.78|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0
65.0|0.0|129.1|101.0|21.95|201.4|83.0|17.095|203.0|111.0|9.4|10.3|6.0|3.43|4.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1
100.0|0.0|187.7|127.0|31.91|163.4|148.0|13.89|196.0|100.0|8.82|10.3|4.0|2.46|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0
168.0|0.0|128.8|101.0|30.564999999999998|104.9|100.0|8.92|141.1|100.0|9.11|11.2|2.0|3.02|1.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
100.0|0.0|179.45|88.0|30.564999999999998|247.6|100.0|21.05|203.0|115.0|8.65|12.3|4.0|2.78|3.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0
62.0|0.0|120.7|70.0|20.52|307.2|100.0|26.11|203.0|99.0|9.11|13.1|6.0|3.54|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
100.0|0.0|179.45|67.0|30.564999999999998|201.4|97.0|27.01|203.0|128.0|9.11|10.3|4.0|1.46|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1
85.0|27.0|196.4|139.0|33.39|201.4|90.0|17.095|203.0|75.0|4.02|10.3|4.0|3.73|1.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
100.0|0.0|190.7|114.0|32.42|201.4|111.0|18.55|203.0|121.0|5.83|10.3|3.0|2.19|3.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
76.0|0.0|189.7|101.0|32.25|212.8|65.0|18.09|165.7|108.0|9.11|10.0|5.0|2.78|1.0|1.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
73.0|0.0|224.4|101.0|30.564999999999998|159.5|88.0|13.56|192.8|74.0|9.11|10.3|2.0|2.78|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
147.0|0.0|155.1|117.0|26.37|239.7|93.0|20.37|203.0|100.0|9.4|10.6|4.0|2.78|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
77.0|0.0|62.4|101.0|10.61|169.9|100.0|14.44|209.6|64.0|9.11|5.7|6.0|2.78|5.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1
130.0|0.0|183.0|112.0|31.11|72.9|100.0|6.2|181.8|78.0|9.11|9.5|4.0|2.78|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
111.0|-0.0|110.4|103.0|18.77|201.4|102.0|11.67|203.0|105.0|9.11|7.7|6.0|2.08|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
132.0|0.0|81.1|101.0|13.79|201.4|72.0|20.84|237.0|115.0|9.11|10.3|4.0|2.78|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
174.0|0.0|179.45|101.0|30.564999999999998|201.4|100.0|23.55|250.7|100.0|9.11|15.5|5.0|4.19|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
100.0|0.0|179.45|115.0|30.564999999999998|201.4|100.0|17.095|182.7|115.0|8.22|9.5|4.0|2.78|1.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
54.0|0.0|134.3|73.0|22.83|201.4|100.0|17.095|203.0|68.0|4.59|14.7|4.0|3.97|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0
20.0|0.0|179.45|101.0|32.3|258.2|84.0|21.95|203.0|100.0|8.17|6.3|6.0|1.7|0.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
49.0|0.0|119.3|101.0|20.28|201.4|109.0|17.095|178.7|90.0|8.04|11.1|4.0|3.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
142.0|0.0|84.8|95.0|14.42|136.7|100.0|17.095|250.5|148.0|11.27|14.2|6.0|3.83|2.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
100.0|0.0|226.1|101.0|38.44|201.5|100.0|17.095|203.0|100.0|11.08|10.3|5.0|2.78|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
172.0|0.0|212.0|121.0|30.564999999999998|31.2|115.0|2.65|203.0|78.0|13.2|12.6|4.0|3.4|1.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
12.0|0.0|249.6|118.0|42.43|201.4|119.0|21.45|280.2|100.0|9.11|11.8|3.0|3.19|1.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1
