num__CZAS_POSIADANIA|num__L_WIAD_POCZTA_G|num__DZIEN_MIN|num__DZIEN_L_POL|num__DZIEN_OPLATA|num__WIECZOR_MIN|num__WIECZ_L_POL|num__WIECZ_OPLATA|num__NOC_MIN|num__NOC_L_POL|num__NOC_OPLATA|num__MIEDZY_MIN|num__MIEDZY_L_POL|num__MIEDZY_OPLATA|num__L_POL_BIURO|cat__STAN_9|cat__KOD_OBSZARU_408.0|cat__KOD_OBSZARU_415.0|cat__KOD_OBSZARU_510.0|cat__KOD_OBSZARU_9.0|cat__PLAN_MIEDZY_0.0|cat__PLAN_MIEDZY_1.0|cat__PLAN_MIEDZY_9.0|cat__POCZTA_G_0.0|cat__POCZTA_G_1.0|cat__POCZTA_G_9.0|REZYGN
128.0|25.0|198.4|108.0|45.07|197.4|106.0|16.78|244.7|91.0|11.01|-250.0|4.0|2.97|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
111.0|0.0|198.4|108.0|27.47|216.64999999999998|103.0|1662.0|254.4|106.5|286.25|11.2|4.0|2.97|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
111.0|0.0|6085.0|108.0|41.38|121.2|106.0|18.84|215.25|5200.0|9.78|-305.0|4.0|3.29|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
84.0|0.0|198.4|3550.0|-1272.5|216.64999999999998|2200.0|18.84|215.25|89.0|8.86|11.2|4.0|1.78|2.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|0.0|0.0|0
7500.0|0.0|198.4|-2825.0|708.5|216.64999999999998|122.0|18.84|186.9|106.5|8.41|10.1|3.0|2.97|3.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
111.0|0.0|223.4|108.0|37.98|5515.0|106.0|18.84|215.25|106.5|9.78|11.2|4.0|1.7|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0
111.0|0.0|198.4|88.0|32.95|216.64999999999998|106.0|18.84|212.6|2950.0|9.78|11.2|7.0|-50.74999999999999|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0
111.0|0.0|7850.0|108.0|26.69|-2577.5|94.0|18.84|211.8|9600.0|9.78|11.2|4.0|1.92|-0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
111.0|0.0|198.4|97.0|32.95|216.64999999999998|106.0|29.89|215.8|90.0|9.78|11.2|4.0|2.35|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0
141.0|0.0|198.4|84.0|32.95|222.0|106.0|18.87|215.25|106.5|9.78|280.0|5.0|3.02|-0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
111.0|0.0|198.4|108.0|21.95|5712.5|83.0|19.42|215.25|106.5|9.78|11.2|-150.0|2.97|4.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|1
