num__CZAS_POSIADANIA|num__L_WIAD_POCZTA_G|num__DZIEN_MIN|num__DZIEN_L_POL|num__DZIEN_OPLATA|num__WIECZOR_MIN|num__WIECZ_L_POL|num__WIECZ_OPLATA|num__NOC_MIN|num__NOC_L_POL|num__NOC_OPLATA|num__MIEDZY_MIN|num__MIEDZY_L_POL|num__MIEDZY_OPLATA|num__L_POL_BIURO|cat__STAN_9|cat__KOD_OBSZARU_408.0|cat__KOD_OBSZARU_415.0|cat__KOD_OBSZARU_510.0|cat__KOD_OBSZARU_9.0|cat__PLAN_MIEDZY_0.0|cat__PLAN_MIEDZY_1.0|cat__PLAN_MIEDZY_9.0|cat__POCZTA_G_0.0|cat__POCZTA_G_1.0|cat__POCZTA_G_9.0|REZYGN
128.0|0.0|177.14999999999998|110.0|30.424999999999997|201.0|99.0|16.78|244.7|100.0|11.01|10.0|3.0|2.7|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
107.0|26.0|177.14999999999998|101.0|27.47|195.5|101.0|17.02|254.4|103.0|9.08|13.7|4.0|3.7|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
137.0|0.0|243.4|101.0|41.38|201.0|110.0|17.02|162.6|104.0|7.32|10.4|4.0|2.75|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
100.0|-0.0|299.4|101.0|50.9|61.9|88.0|5.26|196.9|100.0|8.86|6.6|7.0|1.78|2.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0
75.0|0.0|166.7|113.0|28.34|148.3|122.0|12.61|186.9|121.0|8.41|10.4|3.0|2.73|3.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
100.0|0.0|223.4|101.0|30.424999999999997|201.0|101.0|17.02|201.4|118.0|9.18|10.4|6.0|1.7|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0
121.0|24.0|218.2|101.0|30.424999999999997|348.5|108.0|17.02|212.6|100.0|9.57|7.5|7.0|2.03|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
100.0|0.0|157.0|79.0|26.69|103.1|101.0|8.76|211.8|96.0|9.08|10.4|4.0|1.92|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0
117.0|0.0|177.14999999999998|97.0|30.424999999999997|201.0|80.0|29.89|215.8|90.0|9.08|10.4|4.0|2.75|1.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
141.0|37.0|177.14999999999998|84.0|43.96|222.0|111.0|17.02|326.4|97.0|14.69|11.2|5.0|2.75|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
