Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
6.0|9||over-seven|||||9|1.0|good
|radio-tv||9|9|9.0|22.0|1.0|9|1.0|bad
|education|2096.0|9|9||||9||good
4200.0|9|7882.0|seven-years||4.0|45.0|1.0|9|9.0|good
24.0|new-car|487000.0||single-male|9.0|53.0|||2.0|bad
36.0||-226375.0||single-male|||1.0|unskilled-resident|2.0|good
2400.0|furniture|2835.0|over-seven|single-male|9.0||1.0|9|1.0|good
36.0||6948.0|||9.0|-875.0|9.0|9||good
-300.0||305900.0|seven-years|male-divorced|9.0||1.0|unskilled-resident|9.0|good
30.0|9|5234.0|||||9.0|management|1.0|bad
-300.0|9|||female-divorced|9.0||1.0|||bad
|9|430800.0|||4.0|24.0|9.0|||bad
12.0|radio-tv|||||1100.0|9.0|9||good
600.0|9||over-seven||9.0||||1.0|bad
|9|1403.0||9|9.0||||1.0|good
|||9||||||1.0|bad
-600.0|||over-seven|single-male|4.0|53.0|2.0|9|1.0|good
30.0|9||||3.0||9.0|skilled|1.0|good
|9||9|9||4400.0|9.0||9.0|bad
24.0|9|85750.0|over-seven||2.0|31.0|||9.0|good
9.0||213400.0|9|single-male|4.0|48.0||||good
||2647.0|four-years||3.0|44.0|1.0|skilled|2.0|good
||2241.0|9|single-male|3.0|48.0|2.0|unskilled-resident|2.0|good
1200.0|used-car||one-year|||44.0||9||good
10.0|||four-years||||9.0|9||good
150.0|furniture||four-years|single-male|2.0|36.0|9.0|||good
600.0|radio-tv|||9|||9.0|9||good
|radio-tv|409.0|||3.0|42.0|2.0|skilled||good
7.0||2415.0|9|single-male|2.0|34.0||skilled||good
||6836.0||9|||2.0|9|9.0|bad
|business|1913.0|one-year|||36.0||skilled||good
24.0|9|402000.0|9|single-male|2.0|675.0|1.0||9.0|good
||5866.0|9|9||1500.0|2.0|||good
12.0||1264.0||single-male||-1425.0||||good
|furniture|73700.0|9||||1.0|management|1.0|good
||4746.0||single-male|2.0|25.0|2.0|9||bad
|education|305500.0||||||9|9.0|good
1800.0|radio-tv|-52500.0||single-male|2.0|37.0|||1.0|bad
|domestic-app|1225.0||single-male||3700.0|9.0||9.0|good
9.0|9||||3.0|1200.0|9.0|skilled|1.0|good
||2333.0||||||management|9.0|good
1200.0|9|28950.0|four-years||9.0|1300.0|9.0||1.0|good
18.0||-155100.0|four-years|single-male|9.0||1.0||2.0|good
||6187.0||married-male|4.0|24.0||skilled||good
|9|614300.0|9|female-divorced|4.0||2.0|9||bad
11.0||34825.0|one-year||||9.0|||good
36.0|radio-tv||over-seven|9|4.0|39.0|9.0||9.0|good
|9|1352.0|unemployed||2.0||1.0|unemployed-non-resident||good
11.0|9|722800.0|9||9.0|1950.0|2.0|9|9.0|good
|9||four-years|||28.0||skilled|1.0|good
1200.0||-58325.0|9||||9.0|9|9.0|good
1350.0|||9|||-750.0|2.0||1.0|good
|radio-tv|1262.0||||-625.0|1.0||1.0|good
450.0|used-car||9||9.0||9.0||1.0|good
36.0|9||over-seven|9||57.0|9.0|9|1.0|bad
|||9|single-male|2.0|||9||good
-300.0||6468.0|9|single-male|1.0|1300.0|9.0|||bad
36.0||9566.0|9|female-divorced|2.0|31.0|||1.0|good
|||9|9|9.0|23.0|1.0||1.0|good
|9|||female-divorced|||2.0|unskilled-resident|9.0|bad
900.0|business|1391.0|9|||27.0|1.0|||good
||||single-male|9.0||2.0|skilled||good
||1953.0|over-seven||4.0|61.0|1.0|||bad
|business|721050.0||9|2.0|25.0|||1.0|bad
24.0|9|159050.0|||9.0|||||good
|repairs|||9|9.0||||2.0|good
12.0|9||one-year|female-divorced|2.0|1450.0|1.0|skilled||good
1200.0|new-car|1007.0|four-years||1.0|||skilled|1.0|good
36.0|||four-years|single-male|9.0|-925.0|1.0|||bad
36.0|9|59850.0|||9.0|1250.0|9.0|||good
|||four-years|female-divorced|||9.0|skilled||good
7.0||73000.0|over-seven||2.0|2300.0||||good
8.0||58200.0|over-seven|single-male||51.0|9.0|9||good
|||seven-years|9|||2.0|||good
36.0|education|1977.0|9|single-male|4.0|1000.0|||1.0|bad
1200.0|9|||single-male||||management|1.0|good
2100.0||3965.0||single-male|9.0|34.0|||1.0|bad
275.0|9|4771.0||single-male|9.0|51.0|1.0|||good
54.0|used-car|||single-male||||9|9.0|good
||95800.0|||1.0||1.0|skilled|9.0|good
24.0||5943.0|||1.0|44.0|2.0||9.0|bad
|radio-tv|1213.0|over-seven||3.0|1175.0|9.0||1.0|good
|business||9||||9.0||1.0|good
24.0||87750.0|over-seven|9|9.0||1.0|unskilled-resident||good
10.0|radio-tv||9|single-male||2600.0|9.0|unskilled-resident||good
12.0|business|141200.0||9||29.0|2.0|management||good
1800.0|9|32375.0|one-year|||27.0||||good
3600.0|||9|single-male||2350.0|||9.0|bad
|9|2249.0|9|9||30.0|9.0|9||good
||1108.0|seven-years|single-male||700.0|||9.0|bad
||-15450.0|9||4.0|-1400.0|||1.0|good
300.0|used-car|-35225.0|9|9|||1.0||1.0|good
|radio-tv|||female-divorced|3.0||9.0|unskilled-resident||bad
24.0|9|3617.0|over-seven|single-male||20.0||||good
||1318.0||||-1350.0||skilled|1.0|good
|business|1594500.0|9|single-male|4.0|-1450.0|9.0|||bad
1200.0|education|2012.0|seven-years|9|9.0|61.0||9|9.0|good
450.0|9||four-years|9|4.0|34.0|9.0|9|1.0|good
36.0|radio-tv||over-seven||4.0||9.0|9|1.0|good
|||9||9.0|3600.0|9.0|||good
1200.0||||9|9.0|1025.0|1.0|||good
36.0||2323.0||9|4.0|2400.0|1.0|||good
300.0|9|-23300.0|four-years||2.0|24.0|1.0|9|1.0|good
9.0||1919.0|9|single-male|||1.0||1.0|good
600.0|used-car|2445.0||married-male|4.0||1.0|9||good
2400.0||298450.0|four-years|9|9.0|39.0|2.0|management|9.0|bad
|new-car|322900.0|over-seven|single-male|4.0|39.0|9.0|||bad
||6078.0|seven-years|||||skilled|1.0|good
600.0||7721.0|||9.0|30.0||9||good
|business|||married-male|2.0||1.0|skilled||good
|business|||male-divorced||-775.0||skilled||good
||392.0||||-575.0|1.0|skilled|1.0|good
|new-car|6260.0|9|single-male|3.0||9.0|unskilled-resident|1.0|good
||||9|2.0|625.0||9|1.0|bad
12.0|9|1680.0||married-male||35.0||9|1.0|good
|9|3578.0|9||||1.0|||good
42.0||7174.0|9||3.0||9.0||1.0|bad
10.0|furniture|-53300.0|9|9|9.0|2700.0|2.0|skilled||good
33.0|9|||9|||2.0|skilled||bad
|new-car||||3.0|1800.0|9.0||9.0|good
2100.0|radio-tv|1835.0|four-years|9||25.0||skilled|9.0|bad
24.0|used-car|3868.0|over-seven|female-divorced||41.0||management||good
12.0||1768.0||9|2.0||1.0|unskilled-resident|9.0|good
10.0|9|78100.0|9|single-male|9.0||2.0||1.0|good
|9|-48100.0|9||9.0|27.0|1.0|skilled|1.0|bad
12.0|new-car|2121.0|9|9|2.0|3000.0|2.0|9|9.0|good
12.0|radio-tv|701.0|9|||40.0||unskilled-resident|1.0|good
|||9|9|||1.0||9.0|bad
-300.0|||9|single-male|||9.0|management|1.0|good
|9|3499.0||female-divorced|2.0||9.0|skilled||bad
1200.0||212175.0|||2.0||1.0|skilled|1.0|good
|education|-172175.0|||3.0|29.0|||1.0|bad
15.0||2708.0|||||9.0|unskilled-resident||good
||49600.0|||4.0||9.0|9||good
||10144.0||female-divorced|4.0|2100.0|1.0||1.0|good
12.0|9|1240.0|over-seven|||1900.0|9.0|skilled||good
27.0|used-car|8613.0|four-years||||2.0||9.0|good
-300.0|||four-years|9|9.0|||9||bad
375.0|radio-tv||9|single-male|9.0|35.0|9.0||1.0|good
|radio-tv||||2.0||9.0|||good
6.0|new-car|709.0|||9.0|27.0|9.0|unemployed-non-resident||good
36.0|radio-tv|239750.0|one-year|female-divorced|1.0|30.0|1.0|||good
27.0|||9||2.0|27.0|9.0|management|9.0|good
1800.0|furniture|246200.0|9||2.0|22.0|||9.0|bad
||114400.0|one-year|9|||1.0||1.0|good
|business|3566.0|||9.0|||skilled||good
6.0|new-car||over-seven||||9.0|9|9.0|good
|9|-17050.0|9|female-divorced|3.0|5100.0|2.0|skilled||good
36.0|||four-years|||-700.0||skilled||good
|radio-tv|79100.0|9|9||46.0|2.0|||good
|9|1346.0|over-seven|single-male|9.0|4200.0||9||good
|radio-tv|1924.0||||1900.0|1.0|skilled|9.0|good
-900.0|||four-years|single-male||-600.0||skilled||good
||7758.0|||4.0|29.0||skilled||good
24.0|||seven-years||9.0|36.0|9.0|management|9.0|good
12.0||-32050.0|four-years|female-divorced||||||bad
|repairs|1288.0||single-male|9.0||2.0||2.0|good
12.0||||9|1.0|4500.0|1.0|9||good
24.0|9|87800.0||single-male|3.0|||skilled||good
|9||four-years||2.0|34.0|9.0|unskilled-resident||good
600.0|radio-tv|||single-male||||skilled|2.0|good
18.0|9|1055.0|||||2.0||9.0|good
750.0|domestic-app||9||9.0||||9.0|good
|new-car|182700.0||9||70.0||||good
36.0||||9|||1.0|||good
6.0||-74450.0||single-male|2.0||1.0|skilled||good
||1131.0|9|female-divorced|2.0|3300.0|1.0|skilled|1.0|bad
|9|157700.0||9|9.0|20.0|1.0|||good
1200.0||99300.0|9||9.0|25.0|9.0|9|1.0|good
600.0|9|||male-divorced|9.0||||9.0|bad
|9|950.0|||3.0|33.0|||9.0|bad
12.0||763.0||female-divorced|9.0|||skilled|1.0|good
24.0|furniture|||female-divorced|9.0||9.0|management|1.0|bad
8.0|||||9.0||||1.0|good
||170700.0||||1300.0|2.0||1.0|bad
|used-car|374250.0|unemployed|female-divorced|1.0|||management|9.0|bad
12.0|furniture|257700.0||9|9.0|||skilled|1.0|good
