Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
6.0|radio-tv|1169.0|over-seven|single-male|4.0|67.0|2.0|skilled|1.0|good
48.0|radio-tv|5951.0|four-years||2.0|22.0|1.0|skilled|1.0|bad
12.0||2096.0||single-male|3.0|49.0|1.0|unskilled-resident|9.0|good
42.0|furniture|7882.0|seven-years|single-male|4.0|45.0|1.0|skilled|2.0|good
24.0|new-car|4870.0|9|single-male|4.0|53.0|2.0|skilled|2.0|bad
36.0|education|9055.0|9|single-male|4.0|35.0|1.0|unskilled-resident|2.0|good
24.0|furniture|2835.0|over-seven|single-male|4.0|53.0|1.0|skilled|1.0|good
36.0|used-car|6948.0|four-years|single-male|2.0|35.0|1.0|management|1.0|good
12.0|radio-tv|3059.0||male-divorced|4.0|61.0||unskilled-resident|1.0|good
|||unemployed|married-male|2.0|28.0|2.0|management|1.0|bad
12.0|new-car||one-year|female-divorced|1.0|25.0|9.0|skilled|1.0|bad
48.0|business|4308.0||9|4.0|24.0|1.0|skilled|1.0|bad
240.0|radio-tv|1567.0|four-years|female-divorced|1.0|22.0|1.0|skilled|1.0|good
|new-car|1199.0|over-seven|single-male|4.0|60.0|2.0|unskilled-resident|1.0|bad
300.0|new-car|56120.0|four-years|female-divorced|4.0|28.0|1.0|skilled|1.0|good
24.0|radio-tv|1282.0||female-divorced|2.0|32.0|1.0|unskilled-resident|1.0|bad
|radio-tv|2424.0|over-seven|single-male|4.0|53.0|2.0|9|1.0|good
30.0|business|8072.0|one-year|single-male|3.0|25.0|3.0|skilled|1.0|good
24.0|used-car|12579.0|over-seven|female-divorced|2.0|44.0|1.0|||bad
24.0|radio-tv|3430.0|over-seven|single-male|2.0|31.0|1.0||2.0|good
9.0|new-car|2134.0|four-years|single-male|4.0|48.0|9.0|skilled|1.0|good
6.0|radio-tv|2647.0||single-male|3.0|-880.0|1.0|skilled||good
10.0|new-car|2241.0|one-year|single-male|3.0|48.0|2.0|unskilled-resident||good
240.0|used-car|1804.0|one-year||9.0|44.0|1.0|skilled|1.0|good
10.0|furniture|2069.0|four-years|married-male|1.0|2080.0|2.0|skilled|1.0|good
-120.0|furniture|1374.0|four-years|single-male|9.0|36.0|1.0|unskilled-resident|1.0|good
6.0|||9|married-male|4.0|39.0|1.0|unskilled-resident|1.0|good
12.0|radio-tv|16360.0|||3.0|42.0||skilled||good
7.0|9|2415.0|four-years||2.0|34.0|1.0|9|1.0|good
|business|6836.0|over-seven|single-male|4.0|63.0|2.0|skilled|1.0|bad
18.0|business|1913.0|one-year|9||36.0|1.0|skilled|1.0|good
24.0|furniture|4020.0|four-years||2.0|27.0|1.0|skilled|1.0|good
18.0|new-car|5866.0|four-years|single-male|9.0|30.0|2.0|skilled|1.0|good
12.0|business||9|single-male||57.0|1.0|unskilled-resident|9.0|good
12.0|furniture|1474.0|one-year|female-divorced|1.0|-660.0|1.0||1.0|good
45.0|radio-tv|94920.0|one-year|single-male|2.0|25.0|9.0|unskilled-resident|1.0|bad
|education|6110.0|9|single-male|3.0|31.0|1.0|9|1.0|good
18.0|radio-tv|2100.0|four-years|9|2.0|37.0|9.0|skilled|9.0|bad
10.0|domestic-app||four-years|single-male||37.0|1.0|skilled|1.0|good
9.0|radio-tv|458.0|four-years|single-male|3.0|24.0|1.0|skilled|1.0|good
30.0|radio-tv|-46660.0|over-seven|single-male|2.0|30.0|1.0|management|1.0|good
12.0|radio-tv|23160.0|four-years|male-divorced|1.0|26.0|1.0|9|1.0|good
18.0|repairs|6204.0|four-years|single-male|4.0|44.0|1.0|unskilled-resident|2.0|good
30.0|used-car|6187.0|seven-years|married-male|||2.0|skilled|1.0|good
48.0|used-car||over-seven|female-divorced|4.0|58.0|2.0|unskilled-resident|1.0|bad
|new-car|-27860.0||female-divorced||35.0|9.0|management|1.0|good
36.0|radio-tv|2299.0|over-seven|single-male|4.0|39.0|1.0|skilled|1.0|good
6.0|used-car|1352.0|unemployed|female-divorced|2.0|23.0|1.0|unemployed-non-resident|1.0|good
11.0|new-car|7228.0|four-years|single-male||39.0|2.0|9|1.0|good
