Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
|radio-tv||9|single-male|||9.0|||good
48.0||||9|||9.0|9|1.0|bad
|9|2096.0||single-male|3.0|-980.0|9.0|unskilled-resident|9.0|good
1680.0|furniture||seven-years|single-male|9.0|45.0||||good
24.0||194800.0||||53.0||||bad
||||9|4.0|35.0||9|2.0|good
1920.0|furniture||over-seven|single-male||53.0|||9.0|good
||6948.0|9|single-male|2.0|35.0|1.0|management||good
480.0||3059.0|seven-years||9.0||9.0||1.0|good
30.0|9|104680.0|9|9||||9||bad
|new-car|1295.0||female-divorced|||1.0|9||bad
|business|4308.0|||4.0||9.0|||bad
|radio-tv|1567.0||9||||skilled|1.0|good
||23980.0|9|single-male|||9.0|9|9.0|bad
|new-car|1403.0||female-divorced|4.0|28.0|1.0|||good
-480.0||||9|9.0||||9.0|bad
24.0|radio-tv||||4.0||2.0|skilled||good
30.0||||||25.0|||9.0|good
||12579.0|over-seven|female-divorced|9.0|880.0|||9.0|bad
||68600.0||9|9.0|31.0||9|2.0|good
||||9|||9.0||1.0|good
6.0|9||four-years|9|9.0|||9|2.0|good
10.0||||single-male||48.0|9.0|9|2.0|good
12.0|9|1804.0||9|4.0|1760.0|1.0|skilled||good
10.0|furniture||four-years||1.0|2080.0|2.0|skilled||good
6.0|furniture|1374.0|four-years|||1440.0|1.0|||good
6.0|radio-tv|426.0||married-male|9.0||1.0|9||good
240.0|radio-tv||four-years|female-divorced|3.0|-840.0|9.0|||good
7.0||2415.0|||2.0|1360.0|||1.0|good
1200.0|business||over-seven|9|4.0|63.0|||1.0|bad
360.0|||one-year||3.0|||||good
||||||27.0|1.0||9.0|good
18.0|new-car|-117320.0|||2.0|30.0||skilled|1.0|good
|9|1264.0||9|4.0||1.0|||good
||-29480.0|one-year|||||management||good
|9|4746.0|one-year|single-male|9.0|25.0|2.0||9.0|bad
3840.0|9|6110.0|9|||31.0||9|1.0|good
18.0||42000.0|9|single-male|||||1.0|bad
200.0||98000.0||9|9.0|37.0|9.0|skilled|1.0|good
9.0|||four-years|9|3.0||||9.0|good
600.0|radio-tv|||single-male|||9.0|management|1.0|good
12.0|radio-tv||four-years||1.0|||||good
18.0||6204.0|four-years|single-male|9.0||||2.0|good
30.0|used-car|6187.0|seven-years|9||24.0|||1.0|good
48.0|9||9|9||58.0||unskilled-resident|9.0|bad
|||one-year|||||management|9.0|good
||2299.0|9|single-male|||9.0|9|1.0|good
-120.0|9|108160.0|9|||1840.0|1.0|unemployed-non-resident||good
11.0||7228.0|four-years|9|9.0||9.0|unskilled-resident|1.0|good
12.0|radio-tv|41460.0|9|9||1120.0|1.0|skilled||good
-480.0|||one-year||||1.0|unskilled-resident|9.0|good
|9|-119300.0||single-male||1200.0|2.0|management|9.0|good
12.0||1262.0|four-years|single-male||25.0||skilled||good
360.0|used-car||9||1.0|||9||good
1440.0||89000.0|||||||1.0|bad
6.0|new-car||9|single-male|9.0||||2.0|good
||6468.0|unemployed||||1.0||1.0|bad
||-191320.0||female-divorced||2480.0|9.0|9||good
|||9|||23.0||management||good
|9|||female-divorced|9.0||2.0|unskilled-resident|1.0|bad
|||four-years||9.0|1080.0|9.0||9.0|good
|||over-seven||4.0|50.0||skilled||good
||||9||1220.0||9||bad
||576840.0||||25.0||9|9.0|bad
-480.0||||female-divorced|4.0||1.0|skilled|1.0|good
27.0|repairs|5190.0||||48.0||9||good
|||one-year|9|||||9.0|good
|9||||1.0|22.0||||good
720.0|||9|||37.0||skilled|1.0|bad
-720.0||||female-divorced|4.0|||skilled||good
|||9||9.0|1200.0|9.0|||good
|||over-seven||2.0|46.0|2.0|9||good
||||9||51.0|2.0|9||good
|business|5954.0||female-divorced|1.0||||9.0|good
-720.0|education|1977.0|over-seven|single-male|4.0||1.0||9.0|bad
|9|-30520.0|||9.0||9.0||1.0|good
42.0||158600.0||single-male|||9.0||1.0|bad
440.0||4771.0|seven-years||9.0|2040.0|1.0|9|1.0|good
54.0|used-car|9436.0|four-years|9|9.0|39.0|9.0||2.0|good
30.0||-76640.0||married-male|||1.0|9||good
|9||9||9.0|44.0|2.0||1.0|bad
|||over-seven||3.0|||9|1.0|good
720.0|business||four-years|female-divorced|9.0|24.0||9||good
|others|-35100.0||female-divorced|9.0|58.0|||1.0|good
-200.0|9|2315.0|over-seven|||4160.0|1.0||9.0|good
|||four-years|||580.0||management||good
18.0|9|-25900.0|||1.0|540.0||||good
36.0||12612.0||9|9.0|||skilled|9.0|bad
||2249.0|9|9|3.0|600.0|||9.0|good
12.0|repairs|88640.0|seven-years|single-male||28.0||skilled|9.0|bad
|9||over-seven|single-male|9.0||1.0|9||good
12.0||1409.0|||3.0|2160.0|||1.0|good
|9||||||9.0|||bad
|furniture||over-seven|||||9||good
12.0|new-car|1318.0|9|||2160.0||||good
||15945.0|one-year|single-male||4640.0||9|1.0|bad
||2012.0|||9.0|||skilled|1.0|good
|9||||4.0|1360.0|9.0|||good
||2337.0|9|single-male|4.0|36.0|1.0|||good
|used-car|-141140.0|seven-years||9.0|||9||good
-480.0|9||||4.0|||9|1.0|good
|9|2323.0|9|single-male|4.0|480.0|1.0|9||good
|9|932.0|four-years|9||24.0||||good
||1919.0||single-male||-700.0|9.0|skilled|9.0|good
|9||9|||||9||good
|others||9||9.0|39.0||management|2.0|bad
18.0|||||4.0|1560.0|9.0||2.0|bad
|new-car|||single-male||2560.0|1.0|skilled||good
||308840.0||female-divorced|2.0||9.0|skilled||good
14.0||-28200.0|over-seven|9|2.0||9.0||1.0|good
120.0|business||over-seven||2.0|620.0|2.0|||good
15.0||7840.0|||9.0|920.0||skilled||good
18.0||||single-male|9.0|28.0|||1.0|good
36.0||314200.0|||2.0|25.0|||1.0|bad
|radio-tv||over-seven|married-male|9.0|35.0|||1.0|good
||3578.0|over-seven|single-male|1.0|47.0||||good
||7174.0|||9.0|||9|9.0|bad
|furniture||one-year|||||||good
33.0|||||4.0|460.0|2.0|9||bad
12.0|9|2366.0||male-divorced||720.0||||good
1680.0|9|1835.0|four-years|female-divorced||25.0||||bad
|9||over-seven|female-divorced|9.0||||9.0|good
||-35360.0||||24.0|1.0|unskilled-resident|9.0|good
400.0||781.0||||63.0|9.0|||good
||153920.0|9|female-divorced|3.0||1.0|9||bad
|new-car|84840.0|four-years||9.0||2.0|||good
||||||800.0|1.0||9.0|good
||12780.0|four-years|single-male|||||1.0|bad
12.0||1860.0||single-male||34.0|9.0|management||good
12.0|new-car||four-years||2.0|29.0|||9.0|bad
48.0|new-car|169740.0||9|9.0|24.0|1.0|9||good
|||four-years||3.0||||9.0|bad
1200.0|furniture|||9|9.0||2.0|9||good
|||four-years|||||skilled|1.0|good
2400.0|radio-tv|10144.0|9|female-divorced|4.0||9.0||1.0|good
||||9|9.0|38.0|2.0|skilled||good
||344520.0||single-male|2.0|||9||good
||766.0|9||9.0|1320.0||9|9.0|bad
||2728.0|seven-years|single-male||35.0|3.0|skilled|1.0|good
|radio-tv||four-years|9|2.0|1760.0|||1.0|good
6.0|||||||||1.0|good
|radio-tv|||female-divorced|||1.0|||good
2160.0|9|273280.0||||2160.0|1.0|||good
|9|49240.0||||||skilled|9.0|bad
|furniture||||4.0|23.0|9.0|9||good
||3566.0|seven-years||9.0||9.0|skilled||good
|new-car||9|||39.0||9||good
||||9|3.0|1020.0||||good
-720.0|9|-107420.0|four-years||9.0||||1.0|good
||31640.0||||46.0||skilled|9.0|good
|||||||1.0||9.0|good
10.0|radio-tv|1924.0|9|||-760.0||skilled||good
|||four-years||1.0|24.0||skilled|9.0|good
||7758.0|9|9||||||good
||557360.0|9|single-male||36.0|1.0|management|1.0|good
|furniture||four-years||9.0||1.0||9.0|bad
9.0|9|25760.0|9|single-male|9.0|3840.0||skilled|9.0|good
|retraining|||||||||good
24.0|||||||2.0|||good
240.0||151840.0|||2.0|2720.0||unskilled-resident||good
480.0||||9||36.0|9.0|||good
-360.0|9|1055.0|one-year|female-divorced|1.0||9.0|skilled|1.0|good
||||single-male||720.0||skilled||good
800.0||7308.0|9||4.0|||9|9.0|good
-720.0|9|909.0||single-male|4.0||1.0|9||good
||||||1280.0||skilled||good
|furniture|-22620.0||9|||1.0|9|9.0|bad
11.0||||female-divorced|9.0||||1.0|good
24.0||79440.0|seven-years|female-divorced||25.0|1.0|skilled||good
|business||over-seven|male-divorced|||9.0|skilled||bad
1200.0|9||9|single-male|||2.0|9|2.0|bad
12.0|furniture|763.0|||9.0|26.0||9||good
1920.0||82560.0|||9.0|34.0|||1.0|bad
|radio-tv|||9|2.0|||skilled|1.0|good
21.0||68280.0||single-male||26.0||||bad
30.0||||female-divorced||53.0||9||bad
|furniture|2577.0|four-years||9.0||1.0|9||good
|9|338.0||9|9.0||2.0|||good
|radio-tv|1963.0|9|9|9.0|31.0|||2.0|good
|new-car||over-seven|single-male||65.0||9|1.0|good
|9|9572.0|9|male-divorced|||2.0|skilled||bad
||178200.0|9|9||30.0||management|9.0|bad
840.0|||||2.0|40.0||unskilled-resident||bad
480.0|||four-years|single-male||2000.0|1.0|9|1.0|good
|9||9||4.0||1.0|||bad
|radio-tv|1360.0|four-years|9|9.0|-620.0||skilled|1.0|good
9.0|used-car|410320.0|over-seven|female-divorced|4.0||1.0|management|2.0|bad
||1175.0||||||9||good
12.0|9|13480.0|seven-years||9.0||1.0|9||bad
-360.0||3244.0||female-divorced|4.0||2.0|skilled|9.0|good
||-91820.0||single-male||4320.0||9|9.0|bad
48.0|business||seven-years|single-male|||||9.0|bad
27.0||156600.0|four-years|9|9.0|||skilled|9.0|bad
120.0|radio-tv||seven-years|married-male|2.0|1160.0|1.0|9|1.0|good
|9|||single-male|9.0|21.0|1.0|||bad
9.0||1501.0|over-seven||3.0|34.0||management|9.0|bad
6.0||||9|1.0|||||good
960.0|9|76080.0|9|female-divorced||-540.0||||bad
960.0|9||over-seven|||36.0||skilled||good
360.0|9|4297.0|9|||40.0||9|9.0|bad
|education||over-seven||2.0||||1.0|good
||1168.0|||9.0|||unskilled-resident|9.0|good
|9|5117.0|9|9|9.0||||1.0|good
|9|902.0|seven-years|married-male||840.0|1.0|9||bad
480.0|new-car||||1.0|760.0|9.0|||good
30.0|9|10623.0|over-seven|||||||good
12.0|furniture|1935.0|||9.0||9.0||1.0|good
960.0||||9|9.0|||skilled|1.0|good
1920.0|9||9||||9.0|unskilled-resident|1.0|good
12.0|||9||2.0|55.0|1.0|||good
|9||9|9|2.0|660.0||skilled||good
2880.0|radio-tv|153400.0|||9.0||9.0|9|9.0|good
27.0|9|5293.0|||||2.0|9|9.0|bad
|business||9|9|9.0||1.0||9.0|bad
-720.0||66840.0||||4080.0|||1.0|good
240.0|||seven-years|9||1560.0||unskilled-resident|1.0|good
720.0|business||||9.0||9.0|||good
||||single-male||||||good
|||four-years||2.0|24.0||unskilled-resident|1.0|good
|new-car||four-years|9|4.0||9.0|||good
12.0||||married-male|9.0||||9.0|good
480.0||1200.0|||4.0|||skilled||good
12.0|radio-tv|707.0|||2.0|||skilled|9.0|good
24.0|business|||single-male|||9.0||2.0|good
|9|4657.0|9|single-male||600.0|9.0|skilled||good
36.0||104520.0|9|||||skilled|9.0|good
|radio-tv|438440.0|||||9.0|skilled||bad
||157300.0|over-seven|9|4.0||1.0||1.0|bad
180.0|9|||single-male|2.0||9.0|skilled|1.0|bad
24.0|||one-year|||22.0|9.0|9||good
|||four-years||2.0|26.0||skilled|1.0|bad
||||single-male||51.0|||9.0|good
|radio-tv|2141.0|seven-years|single-male|1.0|35.0|9.0|9||good
|9|||||||unskilled-resident|1.0|good
||123520.0|seven-years||1.0|42.0||9||good
24.0|||||9.0||1.0|9||bad
