Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
|radio-tv|1169.0|over-seven|single-male|4.0|6700.0|2.0||1.0|good
48.0|9|5951.0|9|female-divorced|||1.0|9|1.0|bad
12.0||2096.0|seven-years|single-male|3.0|49.0||unskilled-resident|2.0|good
|furniture|394100.0|seven-years|single-male|4.0|45.0|9.0|skilled|2.0|good
2400.0||4870.0|four-years|single-male|4.0|53.0|2.0|skilled|2.0|bad
1800.0|education|9055.0|four-years|single-male|4.0|||unskilled-resident|2.0|good
24.0||2835.0|over-seven|single-male|4.0|53.0|9.0|skilled|1.0|good
36.0|used-car|694800.0|four-years|single-male|2.0||1.0|management||good
12.0|radio-tv|305900.0|seven-years|male-divorced|9.0|61.0|9.0|unskilled-resident|1.0|good
30.0|new-car|5234.0|9|married-male|||2.0||1.0|bad
12.0|new-car|1295.0|one-year||1.0|25.0|1.0|skilled|1.0|bad
48.0|business|-107700.0|one-year|9||24.0|1.0|skilled||bad
600.0||-39175.0|four-years||9.0|22.0|1.0|skilled|1.0|good
24.0|new-car|-29975.0||single-male|4.0|60.0|2.0|unskilled-resident|1.0|bad
15.0|new-car|1403.0|9|9|4.0|28.0|1.0|9|1.0|good
|radio-tv|1282.0|9|female-divorced|9.0||1.0|unskilled-resident|1.0|bad
24.0|9||over-seven||4.0|53.0|2.0|9|1.0|good
30.0||8072.0|one-year|single-male|3.0||3.0|skilled||good
24.0||12579.0|over-seven|||44.0|1.0|management|9.0|bad
24.0|radio-tv|3430.0|over-seven||2.0|31.0|1.0|9|2.0|good
9.0|new-car|2134.0||single-male|4.0|48.0||9|1.0|good
6.0|radio-tv|2647.0|four-years|single-male||44.0|1.0|skilled|9.0|good
10.0|new-car|2241.0|one-year|single-male|3.0||2.0||2.0|good
|used-car|||single-male|4.0|44.0|1.0|skilled||good
10.0||2069.0|four-years|married-male|9.0|26.0|2.0|9|1.0|good
|furniture||four-years|single-male||900.0|9.0||9.0|good
|radio-tv|426.0||married-male|4.0||1.0|unskilled-resident||good
12.0||409.0|four-years|female-divorced||42.0|9.0|skilled|9.0|good
-175.0|radio-tv|-60375.0|four-years|single-male|2.0|34.0||9|1.0|good
60.0||6836.0|9|single-male||63.0|2.0|9|1.0|bad
18.0|9|1913.0|one-year|9|9.0|36.0|1.0|skilled|1.0|good
24.0|furniture|4020.0|four-years|9|2.0||1.0|skilled|1.0|good
18.0|new-car|5866.0||single-male||30.0|9.0|skilled|1.0|good
12.0|9|1264.0|over-seven|single-male|4.0|57.0|1.0||9.0|good
12.0|furniture|36850.0|one-year|9|9.0|||management|1.0|good
45.0|||one-year||2.0|25.0|2.0|unskilled-resident|1.0|bad
48.0|education|6110.0|9|9|3.0|31.0|1.0|skilled|1.0|good
18.0|radio-tv|210000.0|four-years|single-male||37.0|9.0||9.0|bad
|domestic-app|1225.0|four-years|single-male|2.0|1850.0|1.0|skilled|1.0|good
|radio-tv|22900.0|four-years|single-male|3.0|-600.0|1.0|skilled|1.0|good
-750.0|radio-tv|2333.0|over-seven|single-male|2.0||1.0|management||good
|radio-tv|1158.0|four-years|male-divorced|1.0||1.0|skilled||good
18.0|repairs||four-years|single-male|4.0|44.0|9.0|unskilled-resident|2.0|good
30.0||6187.0|seven-years|married-male|4.0|24.0|2.0|skilled||good
48.0|used-car|6143.0||female-divorced|4.0|58.0|2.0||9.0|bad
|new-car||9|female-divorced|4.0|35.0|9.0|9|1.0|good
3600.0|9|2299.0|over-seven|single-male|4.0||1.0|||good
6.0|used-car|1352.0|unemployed|9||23.0|1.0|9|1.0|good
|||four-years|single-male|4.0||||9.0|good
12.0|radio-tv|2073.0|four-years|female-divorced|9.0|28.0|1.0|skilled||good
24.0|furniture|2333.0|9|9|2.0|29.0|1.0|||good
27.0|used-car|5965.0|9|single-male|9.0|30.0|||1.0|good
12.0|radio-tv|1262.0|four-years|single-male|2.0||1.0|skilled||good
18.0|9|3378.0|four-years|single-male||1550.0||skilled|1.0|good
|9|111250.0|9|9|4.0|57.0|2.0|skilled|1.0|bad
||783.0|four-years|single-male|9.0|26.0|||2.0|good
12.0||6468.0|unemployed|9|1.0||1.0||1.0|bad
3600.0|radio-tv|9566.0|four-years|female-divorced|2.0|31.0||skilled|1.0|good
450.0||1961.0|over-seven|9|2.0|23.0|1.0|9|1.0|good
