Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
6.0|radio-tv|||single-male|4.0||9.0|||good
48.0|radio-tv|-119020.0|9||2.0|880.0|1.0|skilled|1.0|bad
12.0|education|2096.0|seven-years|single-male|9.0|49.0||unskilled-resident|2.0|good
42.0|furniture|7882.0|seven-years|single-male|9.0||9.0||2.0|good
24.0|9|194800.0|9|9|||2.0|skilled||bad
1440.0|education||||4.0||1.0|||good
24.0|9||9|single-male|9.0|53.0|1.0|skilled|9.0|good
36.0|used-car|-138960.0|9|single-male||35.0|9.0|management||good
12.0||||male-divorced||61.0|1.0|unskilled-resident|1.0|good
2400.0|new-car|5234.0|||2.0|28.0||management|1.0|bad
|new-car|1295.0|one-year|9|1.0||9.0|skilled||bad
|business|4308.0|one-year|9|4.0|24.0|1.0||1.0|bad
12.0|radio-tv|31340.0|four-years|female-divorced||440.0|1.0||1.0|good
|new-car|23980.0|over-seven|single-male|4.0|60.0|9.0|unskilled-resident|1.0|bad
15.0|new-car|1403.0|four-years|female-divorced||||9|1.0|good
24.0|radio-tv||9|female-divorced|2.0||1.0|unskilled-resident|1.0|bad
24.0|radio-tv|2424.0||single-male|4.0|53.0|2.0|||good
|business|645760.0|9|||25.0|9.0||1.0|good
480.0||12579.0||female-divorced|2.0|44.0|1.0|management|1.0|bad
1920.0|radio-tv|3430.0|||2.0|31.0|1.0||2.0|good
180.0|new-car|-42680.0||single-male||||skilled|1.0|good
|9|2647.0|9|9|3.0|44.0||||good
10.0|new-car||one-year||||||2.0|good
240.0|used-car|-36080.0||single-male|4.0||1.0|skilled|1.0|good
|9|2069.0|four-years|||26.0|2.0||1.0|good
6.0|furniture|1374.0|9||||1.0|unskilled-resident|1.0|good
6.0|radio-tv|426.0|over-seven|||39.0|1.0|9|9.0|good
12.0||409.0|four-years|female-divorced|3.0|42.0|2.0||1.0|good
140.0|||four-years|9|2.0|34.0||skilled|1.0|good
60.0|business|6836.0|over-seven|single-male|||2.0|skilled||bad
18.0||1913.0||married-male|3.0|36.0|9.0|skilled|1.0|good
24.0||4020.0|||2.0||1.0||9.0|good
|new-car||9||||2.0|9|9.0|good
|business|1264.0||single-male||57.0||unskilled-resident||good
12.0|furniture||9|||33.0|1.0|9|9.0|good
45.0||94920.0||single-male|2.0||9.0|unskilled-resident||bad
48.0|education|6110.0||single-male|3.0||1.0|skilled|1.0|good
18.0|radio-tv|2100.0|9|single-male|9.0|37.0|1.0|skilled||bad
10.0|domestic-app|1225.0|four-years|single-male|2.0|37.0|1.0|9||good
9.0||458.0|four-years|single-male|3.0|-480.0|1.0|skilled|1.0|good
|radio-tv||over-seven|single-male|2.0|1200.0|9.0|management|9.0|good
-240.0|radio-tv|1158.0|four-years||1.0|||skilled|1.0|good
|repairs|||single-male|4.0|44.0|1.0|unskilled-resident|9.0|good
2400.0|used-car|6187.0|seven-years|married-male||480.0||skilled|1.0|good
48.0|used-car|491440.0|||9.0|||unskilled-resident||bad
11.0|new-car||one-year|female-divorced|9.0||2.0|management|1.0|good
-720.0||45980.0|over-seven|single-male|4.0|39.0||skilled|1.0|good
6.0|||unemployed||2.0|||unemployed-non-resident||good
220.0|new-car|7228.0|four-years|single-male|4.0|39.0|9.0|unskilled-resident|1.0|good
12.0|9|2073.0|four-years|female-divorced|2.0||1.0||9.0|good
24.0|furniture|2333.0|||2.0|29.0|1.0|unskilled-resident|1.0|good
27.0||119300.0|over-seven||2.0|600.0|2.0||1.0|good
12.0|radio-tv|100960.0|four-years||2.0|25.0|1.0|skilled|1.0|good
18.0|9||four-years||9.0||1.0|skilled|9.0|good
720.0|new-car|2225.0|over-seven|single-male|9.0|57.0||skilled|1.0|bad
||783.0|||2.0|26.0|1.0|||good
12.0|radio-tv|6468.0||single-male|||||1.0|bad
36.0|radio-tv|9566.0|four-years||2.0||2.0|skilled|1.0|good
|new-car|78440.0|over-seven||||1.0|9||good
