Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
6.0|radio-tv|1169.0|||9.0|3350.0|||1.0|good
48.0||5951.0|four-years|female-divorced||22.0|1.0|skilled|1.0|bad
12.0|education|209600.0|seven-years|9|3.0|49.0|1.0||2.0|good
42.0||7882.0|9|||2250.0|1.0|skilled|2.0|good
||243500.0|9|single-male|9.0||9.0|skilled|2.0|bad
|education||four-years|single-male|4.0|||9|9.0|good
24.0|9|2835.0|9||4.0|-1325.0|1.0||1.0|good
36.0|used-car|6948.0|four-years|single-male|9.0||1.0|management|1.0|good
|radio-tv|152950.0|seven-years||4.0|61.0|1.0|unskilled-resident|1.0|good
|new-car|5234.0|unemployed|married-male||28.0|2.0|management|9.0|bad
|new-car|64750.0|one-year|female-divorced||25.0|1.0||1.0|bad
48.0|business|430800.0|one-year|female-divorced|4.0|24.0|1.0|skilled|1.0|bad
12.0|radio-tv||four-years|9|9.0|-550.0|1.0|skilled|1.0|good
|9|29975.0|over-seven|||-1500.0|2.0|unskilled-resident|1.0|bad
15.0|new-car||four-years||4.0|-700.0|1.0|skilled||good
24.0|radio-tv|1282.0|four-years|9|2.0|32.0|9.0|unskilled-resident|9.0|bad
|radio-tv|2424.0||single-male|4.0|53.0|2.0|skilled|1.0|good
1500.0||8072.0|one-year|single-male|9.0||3.0|||good
600.0||1257900.0||female-divorced|2.0||1.0|management|1.0|bad
24.0|radio-tv|3430.0|over-seven||2.0|31.0|||2.0|good
|new-car|2134.0|four-years|single-male|4.0|48.0|3.0|skilled|1.0|good
6.0|radio-tv|2647.0|four-years|single-male|3.0|44.0|1.0|skilled|9.0|good
10.0|new-car||one-year|single-male|3.0|1200.0||unskilled-resident|2.0|good
|used-car|1804.0|one-year||4.0|44.0|1.0|skilled||good
