Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
||-29225.0|over-seven||4.0|67.0|2.0|skilled|9.0|good
|radio-tv|5951.0|four-years|9|2.0|22.0|9.0||1.0|bad
1200.0|education|||9||||9||good
42.0||||||45.0|9.0|9||good
24.0||243500.0|9||||||2.0|bad
|education|9055.0|9|single-male||35.0|||9.0|good
||70875.0||||53.0||||good
1800.0|9|173700.0||9|2.0|1750.0||||good
12.0|9|3059.0|seven-years|male-divorced|||||9.0|good
-750.0||||||28.0|||9.0|bad
||||||||||bad
4800.0||4308.0|one-year|female-divorced|9.0|||||bad
||1567.0||9|9.0|||9||good
|9|29975.0||9||60.0|9.0|9||bad
||1403.0||9||||9|9.0|good
||1282.0|four-years|female-divorced||||unskilled-resident|9.0|bad
|9||over-seven|9||||||good
|||9||3.0||9.0|||good
||628950.0|||||1.0||9.0|bad
|||9|9|9.0||1.0|||good
||2134.0|9|||||skilled|9.0|good
|||||9.0|-1100.0||9||good
|new-car||9|||48.0||9||good
||||||1100.0|9.0||9.0|good
1000.0|||four-years||||9.0|||good
6.0||||single-male||36.0||||good
6.0|9||9||9.0|3900.0|9.0||9.0|good
|9|409.0||||42.0|9.0||9.0|good
7.0||-60375.0|four-years||||||1.0|good
60.0|business|-170900.0|9|single-male|4.0|63.0||9||bad
||1913.0||||36.0||9||good
|9|201000.0||9||||9|1.0|good
|9||four-years|single-male|2.0||9.0|9||good
|||9|9|9.0|-1425.0||9|1.0|good
||73700.0|one-year|female-divorced|||||1.0|good
||||single-male|2.0||||1.0|bad
|||||||9.0|||good
|||9|single-male|2.0|1850.0|||1.0|bad
|domestic-app|||||-925.0|9.0|||good
|radio-tv||four-years||9.0||||9.0|good
30.0|radio-tv|||||||9|9.0|good
|||four-years||9.0||9.0|skilled||good
||-155100.0|9||4.0|||9||good
-750.0|used-car|||married-male||2400.0||||good
