Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
6.0|radio-tv||over-seven|single-male|4.0|67.0|2.0|skilled|1.0|good
48.0|radio-tv|5951.0|four-years|female-divorced||22.0|1.0|skilled||bad
|education|2096.0||single-male|9.0|49.0|1.0|unskilled-resident||good
42.0|furniture|7882.0|seven-years|9|4.0|45.0||skilled|2.0|good
24.0||4870.0|four-years|single-male|4.0||2.0||2.0|bad
36.0|education|9055.0||single-male|4.0|35.0|1.0|unskilled-resident|2.0|good
24.0|furniture||over-seven|single-male|4.0|53.0|1.0|skilled|1.0|good
36.0|used-car|6948.0|four-years|single-male|2.0|35.0||management|1.0|good
12.0|radio-tv|3059.0|seven-years||4.0|61.0|1.0||1.0|good
-600.0|new-car|5234.0|unemployed|married-male|2.0|28.0|2.0|management|1.0|bad
12.0|new-car|1295.0|one-year|female-divorced|1.0|25.0|1.0|skilled|1.0|bad
960.0|9|4308.0|one-year|female-divorced|4.0|24.0|1.0|skilled|9.0|bad
12.0|radio-tv|1567.0|four-years|female-divorced|1.0|22.0|1.0|skilled|1.0|good
24.0|new-car|1199.0|over-seven|single-male|4.0|60.0|2.0|unskilled-resident|1.0|bad
15.0|9|1403.0|four-years|female-divorced|4.0|28.0|1.0|9|1.0|good
24.0|radio-tv|1282.0|four-years|female-divorced|2.0|-640.0|1.0|unskilled-resident|1.0|bad
24.0|radio-tv||over-seven|single-male|9.0|53.0|2.0|skilled|1.0|good
30.0|business||one-year|single-male|3.0|25.0|9.0||1.0|good
24.0|used-car|12579.0|9|female-divorced|2.0|44.0|1.0|management|1.0|bad
24.0|radio-tv|3430.0|over-seven|single-male|2.0|31.0|1.0|skilled|9.0|good
9.0|new-car|2134.0|four-years|single-male||48.0|3.0|skilled|1.0|good
6.0||2647.0|four-years|single-male|3.0|-880.0|1.0|skilled||good
10.0|||one-year|single-male|3.0|||unskilled-resident|9.0|good
12.0|used-car|1804.0|one-year|single-male|4.0|44.0|1.0|skilled|1.0|good
10.0|furniture|2069.0|four-years|9|1.0|26.0||skilled||good
|furniture|1374.0|four-years|single-male|2.0|36.0||unskilled-resident|1.0|good
6.0|radio-tv|426.0|over-seven|married-male|9.0||1.0|unskilled-resident|1.0|good
12.0|radio-tv|-8180.0|four-years|female-divorced|3.0|42.0||skilled|1.0|good
7.0|radio-tv|2415.0|four-years|single-male|9.0|34.0|1.0|skilled|1.0|good
60.0|business|6836.0|over-seven|single-male|4.0|63.0|2.0|skilled|1.0|bad
18.0|business||one-year|married-male|3.0|36.0|1.0|skilled|1.0|good
||4020.0|four-years|single-male|2.0|2160.0||skilled|1.0|good
18.0|new-car|5866.0|four-years|single-male|2.0|600.0|2.0|skilled|1.0|good
12.0||1264.0|over-seven|single-male|4.0|57.0|1.0|unskilled-resident|1.0|good
12.0|9|1474.0|one-year|female-divorced||33.0|1.0|management|1.0|good
45.0|radio-tv|4746.0||single-male|2.0|25.0|2.0|unskilled-resident|1.0|bad
||6110.0|four-years|single-male|3.0||1.0|skilled|1.0|good
18.0|radio-tv|2100.0|four-years|single-male|2.0|37.0|1.0|skilled|1.0|bad
10.0|domestic-app|1225.0|four-years|9|2.0||1.0||1.0|good
|radio-tv|458.0|four-years|single-male||24.0|9.0|skilled|1.0|good
30.0|radio-tv|186640.0|over-seven|single-male||30.0|1.0|9|1.0|good
|radio-tv|1158.0|four-years|9|1.0|26.0|1.0|skilled|1.0|good
18.0|repairs|6204.0|four-years|single-male|4.0|44.0|9.0|unskilled-resident||good
2400.0|used-car|-123740.0|seven-years|9||24.0|2.0|skilled|1.0|good
1920.0|used-car|6143.0|over-seven|female-divorced|4.0|58.0|||1.0|bad
11.0|new-car|1393.0|one-year|female-divorced|4.0|35.0|2.0|9|1.0|good
36.0|radio-tv|||single-male|4.0|39.0|1.0|skilled|1.0|good
-120.0|used-car|1352.0|unemployed|female-divorced|2.0|23.0|1.0|unemployed-non-resident||good
||7228.0|four-years|single-male|4.0|39.0|2.0|9|1.0|good
|radio-tv|2073.0|four-years|female-divorced|2.0|28.0|1.0|skilled|1.0|good
24.0||2333.0|one-year|single-male|2.0|29.0|1.0|unskilled-resident|1.0|good
27.0|used-car|5965.0||single-male||30.0|2.0|management|1.0|good
12.0|9|1262.0|four-years|9|2.0|25.0|1.0|skilled|1.0|good
18.0|used-car|3378.0|four-years|9|1.0||9.0|9|1.0|good
36.0|new-car|2225.0|9|single-male|4.0|57.0|2.0|skilled|1.0|bad
6.0|new-car|783.0|four-years|single-male|2.0|26.0|1.0|unskilled-resident|2.0|good
12.0|radio-tv|129360.0|unemployed|single-male|1.0|52.0|1.0|management|9.0|bad
36.0|radio-tv|9566.0||female-divorced|2.0|31.0|2.0||1.0|good
18.0|new-car|1961.0|over-seven|9|2.0|23.0|1.0|management|1.0|good
36.0|furniture|6229.0|one-year|female-divorced||460.0|2.0|unskilled-resident|9.0|bad
9.0|business|1391.0|four-years|married-male|1.0|27.0|1.0|skilled|1.0|good
|radio-tv|1537.0|over-seven|9|4.0|50.0|2.0|skilled||good
36.0|business||over-seven|single-male|4.0||1.0|management||bad
48.0|business|14421.0|four-years|single-male|2.0|-500.0|1.0|skilled|1.0|bad
-480.0|9|3181.0||female-divorced|4.0|26.0|9.0|skilled|1.0|good
27.0|repairs|5190.0|over-seven|single-male|4.0|48.0|4.0|skilled|2.0|good
12.0|radio-tv||one-year|female-divorced|2.0|29.0|1.0|skilled|1.0|good
|new-car|1007.0|four-years|married-male|1.0|22.0|1.0|skilled|1.0|good
36.0|education|1819.0|four-years|single-male|4.0|-740.0|1.0|skilled|1.0|bad
36.0|radio-tv|2394.0|four-years|female-divorced|4.0|25.0|1.0|skilled|1.0|good
720.0|used-car|8133.0|four-years|female-divorced|2.0|30.0|1.0|skilled|1.0|good
7.0|radio-tv|730.0|over-seven||2.0|46.0|2.0||1.0|good
8.0||1164.0||single-male|4.0|51.0|9.0|management|2.0|good
42.0|9||9|female-divorced|1.0|41.0|2.0|unskilled-resident|1.0|good
36.0|education|1977.0|over-seven|single-male|4.0|40.0|1.0|management|1.0|bad
12.0||1526.0|over-seven|||-1320.0|2.0|management|1.0|good
-840.0|9|3965.0|one-year|single-male|3.0|2720.0|1.0|skilled|1.0|bad
11.0|radio-tv|4771.0|seven-years|single-male||51.0|1.0|skilled|1.0|good
|used-car|9436.0||single-male|2.0||||2.0|good
30.0|9|3832.0|one-year|married-male|1.0|22.0|1.0|9|1.0|good
24.0|radio-tv|5943.0|one-year|female-divorced|1.0|44.0|2.0|skilled|1.0|bad
15.0|radio-tv|1213.0||single-male|3.0|47.0|1.0|skilled||good
18.0|business|1568.0|four-years|female-divorced|4.0|||unskilled-resident|1.0|good
24.0||1755.0|9|female-divorced|4.0||1.0|unskilled-resident|1.0|good
10.0|9|2315.0|over-seven|single-male|9.0|52.0|1.0|unskilled-resident|1.0|good
12.0|business|1412.0|four-years|female-divorced|2.0|||management|1.0|good
720.0|9|1295.0||female-divorced|1.0||2.0|skilled|1.0|good
36.0|education|12612.0|four-years|single-male|4.0|47.0|1.0|skilled|2.0|bad
18.0||2249.0|seven-years|single-male|3.0|30.0|||2.0|good
12.0|repairs|44320.0|seven-years|single-male|3.0|28.0|2.0|skilled|1.0|bad
