Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
6.0|9|1169.0|||4.0|67.0|2.0|skilled|1.0|good
48.0|radio-tv|5951.0|four-years||9.0|22.0|||9.0|bad
|education|||single-male|3.0||1.0|unskilled-resident|2.0|good
42.0|||seven-years||4.0||1.0|skilled|2.0|good
||194800.0||single-male|4.0|53.0|||2.0|bad
|9|9055.0|four-years|||35.0||unskilled-resident||good
|||9|single-male|4.0|53.0|9.0|skilled||good
1440.0||138960.0|four-years|single-male|2.0|35.0|9.0|management|9.0|good
12.0|9|244720.0|seven-years|male-divorced||1220.0||unskilled-resident|1.0|good
|new-car|418720.0|||2.0|28.0|9.0|9|9.0|bad
|new-car||one-year||1.0||1.0||1.0|bad
|business|||female-divorced||24.0|1.0||1.0|bad
||||9|1.0|880.0|1.0||1.0|good
24.0|new-car|23980.0|over-seven||4.0|60.0|2.0|9||bad
15.0|new-car||four-years||9.0|28.0|1.0|skilled||good
24.0|9|-25640.0|||2.0|32.0||unskilled-resident|1.0|bad
|radio-tv|2424.0|||4.0|53.0||skilled|9.0|good
30.0|business|645760.0||single-male|3.0|1000.0|3.0||1.0|good
-480.0|used-car|12579.0|over-seven|female-divorced|2.0|-880.0|1.0|9|9.0|bad
|radio-tv|3430.0|||||1.0|9|2.0|good
||2134.0|four-years|single-male|4.0|48.0|3.0|skilled|1.0|good
|||9|||44.0|1.0|9|2.0|good
|||one-year|single-male|3.0||2.0|||good
||1804.0|one-year|single-male|4.0|44.0|1.0|skilled|1.0|good
10.0|9||four-years|married-male||26.0||9||good
480.0|furniture||four-years|9|2.0|36.0||unskilled-resident|1.0|good
6.0|radio-tv||||9.0|39.0|1.0|||good
12.0|radio-tv|409.0|four-years|female-divorced|3.0|42.0|2.0|skilled||good
|radio-tv||four-years|single-male|9.0||1.0||1.0|good
||6836.0|over-seven||4.0|||skilled||bad
|business||9||3.0|1440.0|1.0|skilled|9.0|good
960.0|furniture|4020.0|four-years|9||27.0|1.0|skilled||good
18.0|9|5866.0|||2.0|30.0|2.0|9|1.0|good
12.0|business|1264.0|9|9|4.0|57.0|1.0||1.0|good
12.0|furniture|1474.0||9|1.0|33.0|1.0|management|1.0|good
45.0|radio-tv|94920.0||single-male|9.0|25.0|||9.0|bad
48.0||||9|9.0|||skilled|1.0|good
18.0||2100.0|four-years||2.0|740.0|1.0||1.0|bad
|domestic-app|24500.0|four-years|single-male|2.0||1.0|skilled|9.0|good
9.0|radio-tv|18320.0|four-years|single-male||24.0|9.0||1.0|good
|radio-tv|2333.0|over-seven|9|||1.0|9|1.0|good
12.0|radio-tv||four-years||1.0|26.0|1.0|skilled|9.0|good
720.0||6204.0|four-years|single-male|9.0|3520.0|1.0|unskilled-resident|2.0|good
|used-car|6187.0|||9.0|24.0|2.0||9.0|good
48.0|used-car||over-seven|9|9.0|||9|1.0|bad
440.0|9|1393.0||female-divorced||35.0|9.0||1.0|good
|9||over-seven|single-male||39.0|1.0|skilled||good
6.0|used-car||unemployed||9.0|23.0||unemployed-non-resident|1.0|good
11.0|new-car|-144560.0|9|9|9.0|39.0|2.0|9|1.0|good
12.0||2073.0||||28.0|1.0|||good
24.0|furniture||one-year|9|||9.0|unskilled-resident|9.0|good
|used-car||over-seven|single-male|2.0|1200.0||management|9.0|good
|radio-tv|1262.0|9|single-male|2.0||1.0|skilled|1.0|good
18.0|used-car|3378.0|four-years|9|1.0|2480.0|1.0||1.0|good
|new-car|2225.0|9|single-male|4.0|||||bad
6.0|9|783.0||single-male|9.0|2080.0|1.0|9|2.0|good
||6468.0|unemployed|single-male|1.0|||||bad
1440.0|9|191320.0|four-years|female-divorced|2.0||2.0||1.0|good
18.0|9||over-seven|9|9.0|||management|9.0|good
36.0|9|6229.0|9||||2.0||1.0|bad
9.0||||married-male||27.0||9|1.0|good
|radio-tv||||4.0|4000.0|9.0|skilled||good
|business|1953.0|over-seven|9|||9.0|9||bad
48.0|business|14421.0||9|2.0|25.0||||bad
24.0|9|3181.0|one-year|9|4.0|26.0|9.0|skilled|1.0|good
27.0|repairs|5190.0||single-male|4.0|48.0|4.0|9|2.0|good
|radio-tv|43420.0|9|9|9.0||9.0|9|1.0|good
480.0|new-car||four-years|9||440.0|||1.0|good
|9||four-years|9|4.0||1.0||1.0|bad
36.0||95760.0|four-years|||500.0|9.0|skilled|1.0|good
36.0|||9|female-divorced||30.0|1.0|9|1.0|good
-140.0|radio-tv|29200.0|||2.0|46.0|2.0|unskilled-resident|1.0|good
|others|1164.0|over-seven||4.0||2.0|management|2.0|good
||5954.0||female-divorced|1.0|41.0|9.0||1.0|good
36.0||1977.0||single-male|4.0|40.0|||1.0|bad
12.0|used-car|||single-male|9.0|66.0|2.0|management||good
42.0||317200.0|||3.0|34.0||skilled||bad
11.0||4771.0|9|||51.0|1.0|9|9.0|good
54.0||188720.0|four-years|single-male|2.0||1.0|unskilled-resident||good
||3832.0||9|1.0|22.0|1.0|skilled|1.0|good
960.0||||female-divorced|1.0|44.0||9||bad
15.0|9|1213.0||9|3.0|3760.0|1.0|skilled|1.0|good
360.0|9|1568.0||female-divorced|4.0|1920.0|1.0|unskilled-resident|1.0|good
|9|1755.0||9|4.0|2320.0||unskilled-resident|9.0|good
400.0||2315.0|over-seven||9.0|52.0|1.0|unskilled-resident|1.0|good
480.0|||four-years|female-divorced|2.0|29.0||||good
-360.0|9||9|female-divorced|1.0|27.0|2.0|skilled||good
2880.0|education|||single-male|4.0|47.0||9|9.0|bad
|new-car|||single-male|3.0|30.0|1.0|||good
480.0||1108.0|9|single-male||1120.0|2.0|skilled|9.0|bad
