Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
240.0||23380.0||9|||9.0|9||good
48.0||5951.0||9||22.0||skilled||bad
|||9|9|3.0|49.0|1.0|unskilled-resident|9.0|good
3360.0|furniture|7882.0||9||||||good
24.0|9|194800.0||single-male|4.0|53.0|||2.0|bad
36.0||9055.0||single-male||-700.0|1.0|unskilled-resident|2.0|good
|9|||single-male||||9|9.0|good
36.0|used-car|6948.0|four-years|single-male|9.0|35.0|1.0|management||good
960.0|radio-tv||seven-years||4.0|61.0||unskilled-resident|9.0|good
|9||unemployed|9|2.0||2.0|management|1.0|bad
|9|51800.0||||1000.0|9.0|skilled||bad
||344640.0|||4.0||1.0|skilled||bad
||1567.0|9||9.0|22.0|9.0|9|9.0|good
24.0|new-car|||||60.0|9.0||9.0|bad
-300.0||1403.0||||-560.0|9.0|||good
-480.0|9||four-years|9|2.0|||||bad
|||9||4.0|53.0|2.0|||good
-600.0|business|8072.0|9|9|9.0|2000.0|9.0|||good
24.0|used-car|12579.0||female-divorced|9.0||9.0|9|9.0|bad
|||over-seven|single-male|2.0|||skilled|9.0|good
||2134.0||single-male|9.0|48.0|9.0|skilled|9.0|good
|radio-tv|105880.0|9|9||44.0|1.0|||good
|new-car|-44820.0||single-male|9.0|48.0||unskilled-resident||good
||36080.0|one-year|single-male||44.0||9||good
|||four-years|married-male||2080.0||skilled||good
6.0|furniture|1374.0|||||||9.0|good
6.0|radio-tv||over-seven||4.0|39.0|1.0||1.0|good
480.0||409.0||female-divorced|||2.0||1.0|good
|radio-tv|2415.0|four-years|9||680.0|||1.0|good
60.0|business|136720.0||||-1260.0|9.0|skilled|1.0|bad
|9|||9||36.0|1.0|skilled|1.0|good
|9|||single-male|||9.0|skilled|1.0|good
18.0|||four-years|9|2.0|30.0||||good
-240.0||1264.0||single-male|4.0|57.0||9||good
|9|1474.0|one-year||9.0||1.0|management||good
|9|379680.0|one-year|9||1000.0|2.0|unskilled-resident||bad
48.0|education|6110.0||||31.0|1.0|skilled|1.0|good
18.0|radio-tv|||9|||1.0||9.0|bad
10.0|||four-years|single-male||37.0||||good
|radio-tv||four-years|single-male|3.0|960.0|1.0|9|1.0|good
30.0||93320.0|||2.0|-600.0||management|1.0|good
||1158.0||male-divorced||26.0|1.0|skilled||good
18.0|repairs|||single-male||44.0|1.0||2.0|good
30.0|9|6187.0|seven-years|married-male||24.0|2.0|9|1.0|good
48.0|used-car|6143.0|over-seven||||9.0|unskilled-resident|1.0|bad
11.0||1393.0||female-divorced|4.0|35.0||||good
1440.0|radio-tv|||single-male|4.0||1.0|skilled||good
|used-car|1352.0|9|||-460.0||unemployed-non-resident||good
11.0|9||four-years||9.0||2.0|||good
12.0|radio-tv|2073.0|four-years|female-divorced|||1.0|||good
1920.0||46660.0|||2.0|29.0||9||good
540.0|9||||2.0||9.0|9|9.0|good
||1262.0|four-years|single-male||25.0|1.0|skilled|1.0|good
|9|||single-male|1.0||1.0|skilled|1.0|good
36.0|||over-seven|single-male|9.0||2.0|||bad
|9|62640.0||9|9.0|||unskilled-resident||good
|9|6468.0||single-male|1.0|||9|1.0|bad
-720.0|||9||2.0||2.0|skilled|1.0|good
18.0|new-car|1961.0|over-seven|9|2.0||1.0|management|1.0|good
36.0||6229.0||||1840.0|2.0|unskilled-resident||bad
9.0|9||four-years||9.0|27.0|9.0|9|1.0|good
|radio-tv||9||4.0|-1000.0||skilled|1.0|good
36.0|business|78120.0|over-seven|9||61.0|1.0|management||bad
||14421.0|9||2.0||9.0|9|1.0|bad
960.0|9|3181.0|one-year|9|4.0||9.0|skilled||good
27.0||5190.0|9||4.0|48.0||skilled||good
12.0|||||||9.0|skilled|9.0|good
|9|||9||-440.0|1.0|skilled||good
36.0|education|1819.0|four-years|single-male|4.0||9.0|||bad
|radio-tv|2394.0|four-years|||25.0|1.0|skilled|1.0|good
36.0|used-car|8133.0|four-years||2.0|-600.0|1.0|skilled||good
7.0|radio-tv||9|9||46.0|||9.0|good
8.0|9|||9|4.0|51.0|2.0|management|2.0|good
42.0||5954.0|||1.0|||unskilled-resident|1.0|good
||39540.0|9|single-male|9.0||||9.0|bad
|used-car|1526.0|9|9|4.0|2640.0|||1.0|good
||3965.0|one-year|single-male||2720.0||skilled|1.0|bad
11.0||-95420.0||single-male||51.0||skilled|9.0|good
54.0|used-car||four-years|single-male|2.0|-780.0|1.0||2.0|good
1200.0||76640.0|one-year||1.0||||1.0|good
|9|5943.0||female-divorced|9.0|-880.0||skilled||bad
||1213.0||9|||1.0|skilled|9.0|good
18.0|9|||female-divorced||24.0||||good
24.0|others|1755.0|9|9|4.0|58.0|||1.0|good
10.0|radio-tv|2315.0|over-seven||4.0|52.0||9||good
|9||||9.0||2.0||9.0|good
18.0|||one-year|female-divorced|1.0||9.0|skilled|9.0|good
|9||four-years|9|4.0|1880.0|1.0|skilled||bad
18.0|9|179920.0|||9.0|30.0||management|9.0|good
12.0|9|1108.0|seven-years|9|3.0|2240.0|2.0|||bad
12.0|9||over-seven|||||||good
12.0||||9|9.0|54.0|9.0|skilled|1.0|good
12.0|radio-tv||9||9.0|||||bad
24.0||||9||-400.0|||9.0|good
12.0|new-car||over-seven|single-male|4.0||1.0|skilled|1.0|good
|9||9|single-male|9.0|58.0||skilled||bad
12.0|education|40240.0|seven-years|female-divorced|2.0|2440.0|1.0|skilled|1.0|good
18.0|business|104880.0||single-male|9.0|34.0|1.0|9||good
36.0||2337.0|9|single-male|4.0|720.0|||1.0|good
20.0|used-car|||single-male|4.0|36.0||management||good
24.0|||over-seven|9|9.0|820.0||unskilled-resident|9.0|good
36.0||2323.0|9|single-male|4.0|||skilled|1.0|good
|9|932.0|9|female-divorced||24.0|1.0|||good
|furniture|-38380.0||single-male|3.0|35.0|1.0||1.0|good
