Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
6.0|radio-tv||9||4.0||9.0|skilled||good
||-119020.0|9||2.0|22.0|9.0|9||bad
|||||9.0||1.0||2.0|good
|furniture|||||45.0|1.0|9|9.0|good
|||9|9|4.0|53.0||||bad
-720.0|||||4.0||9.0||9.0|good
960.0|9|||9|4.0|53.0|9.0|||good
1440.0|9|||9|||1.0||9.0|good
||3059.0||male-divorced||61.0|9.0|||good
|9|104680.0||9|2.0|28.0|||1.0|bad
|9|||9|||9.0|9|1.0|bad
||4308.0||female-divorced|||1.0|9||bad
12.0|||9|9|9.0||1.0|||good
|9|47960.0||single-male|||2.0|||bad
|9|56120.0|9||||9.0|||good
960.0|radio-tv||||9.0|||unskilled-resident||bad
480.0|||||||9.0|9||good
30.0||8072.0|9|||25.0||skilled|1.0|good
960.0||||female-divorced|2.0|||management||bad
24.0||3430.0|||||1.0|||good
9.0||2134.0||single-male|4.0|-960.0||skilled||good
||2647.0|||||9.0||9.0|good
10.0|9|||9|3.0|||unskilled-resident||good
||1804.0|||4.0|||||good
10.0|furniture|2069.0||||26.0||skilled|1.0|good
||||9|9.0||1.0||1.0|good
|||||4.0||1.0|||good
12.0||409.0|four-years||3.0|42.0|9.0|skilled|1.0|good
-140.0||2415.0|||2.0||1.0|skilled||good
|||over-seven|single-male||||skilled||bad
||-38260.0||married-male||36.0|9.0|||good
-480.0|9|4020.0||single-male||27.0||9|9.0|good
-360.0|||||||||9.0|good
||25280.0||9||||9||good
||1474.0|||1.0|33.0||9|9.0|good
|9|4746.0|one-year|9|2.0|2000.0||9||bad
48.0|||9||9.0||9.0|skilled||good
18.0|radio-tv|2100.0|four-years|single-male|9.0||||9.0|bad
10.0||||||37.0|1.0|skilled||good
-180.0|||four-years|9|||1.0||9.0|good
|radio-tv|2333.0||||||management||good
480.0|radio-tv||||1.0|||skilled|1.0|good
|||9||4.0|||||good
|used-car||||||2.0|9||good
-960.0|||||9.0|58.0|2.0|||bad
11.0|new-car|111440.0||female-divorced||||management||good
36.0|radio-tv|2299.0|over-seven||4.0|||||good
6.0||||9||23.0||||good
||7228.0|four-years|single-male||||||good
-240.0|9|2073.0|four-years||2.0|1120.0|||1.0|good
24.0||2333.0|one-year|single-male||580.0|9.0|||good
||-119300.0|||||||9.0|good
|radio-tv||||2.0|1000.0||skilled|1.0|good
|9|3378.0||single-male|1.0|31.0|1.0||1.0|good
2880.0|9||over-seven|single-male|4.0||2.0||9.0|bad
120.0|new-car|783.0|||2.0|26.0|1.0|unskilled-resident||good
12.0|9||||1.0|4160.0||management||bad
36.0||9566.0|||||9.0||1.0|good
18.0|9|||female-divorced|9.0|-460.0||management|1.0|good
|furniture||||4.0|23.0|2.0||9.0|bad
|business|111280.0|9|9|1.0|||||good
600.0|radio-tv|||||4000.0|||1.0|good
36.0||1953.0|over-seven||9.0|||9||bad
48.0||14421.0|9|9||-500.0||||bad
24.0|||9|||-520.0|1.0|skilled|1.0|good
27.0||5190.0|9||||4.0|skilled|9.0|good
480.0||2171.0||9|||9.0||1.0|good
||1007.0||9|1.0|22.0|1.0|skilled||good
36.0||1819.0|four-years||9.0|37.0||9||bad
2880.0|radio-tv|||||2000.0||||good
|used-car||four-years|9||30.0|1.0||1.0|good
-140.0|9|29200.0||single-male|||9.0||1.0|good
8.0||-23280.0|over-seven|single-male||||management||good
|business|476320.0|seven-years|female-divorced|9.0|41.0||||good
||1977.0|9|9||||management||bad
|used-car|-30520.0||||2640.0||management||good
42.0|radio-tv|79300.0||single-male||34.0|9.0|skilled|1.0|bad
11.0|radio-tv|||single-male|||||1.0|good
1080.0|used-car|||single-male||39.0|9.0||2.0|good
|||one-year|married-male|1.0|1760.0|9.0|9||good
|radio-tv|||female-divorced||1760.0||||bad
15.0||||single-male||47.0||9||good
720.0|||four-years|9||480.0|1.0|9||good
|||9|female-divorced|4.0|||unskilled-resident||good
|radio-tv||9|single-male|4.0|52.0|1.0|unskilled-resident|9.0|good
12.0|business||four-years|9||29.0||management||good
|furniture|103600.0|one-year|||-540.0|||9.0|good
36.0|9||9|9|4.0||1.0|||bad
||-44980.0||9||||management||good
|repairs|1108.0|seven-years|single-male||||9||bad
|radio-tv|-12360.0||9|4.0|4480.0|9.0||9.0|good
|||||3.0|2160.0||skilled||good
|radio-tv||9|||||9|2.0|bad
|furniture||||4.0|20.0|2.0|||good
|new-car|||9|4.0||1.0|9||good
|||one-year|single-male|9.0|4640.0||||bad
12.0|9||||2.0|||||good
18.0||2622.0||single-male|9.0|34.0|1.0|||good
1440.0|radio-tv|2337.0|||9.0|||9||good
20.0||141140.0|||||2.0||2.0|good
||1469.0||||41.0||9||good
720.0||2323.0||single-male|4.0||||1.0|good
6.0|radio-tv||four-years|female-divorced||480.0|9.0|skilled|1.0|good
|9||||9.0|||skilled||good
12.0||48900.0||married-male||1040.0|1.0|||good
|others||||3.0|780.0|9.0||9.0|bad
||6458.0||single-male||||management|2.0|bad
|9|6078.0|seven-years|single-male|2.0|||skilled|1.0|good
1920.0|||||||||1.0|good
|business||||9.0|||skilled||good
480.0|business|1449.0|over-seven|male-divorced||1240.0|2.0||9.0|good
