num__Czas_trwania_konta|num__Kwota_kredytu|num__Wiek|cat__Cel_kredytu_9|cat__Cel_kredytu_MISSING|cat__Cel_kredytu_business|cat__Cel_kredytu_education|cat__Cel_kredytu_furniture|cat__Cel_kredytu_new-car|cat__Cel_kredytu_radio-tv|cat__Cel_kredytu_repairs|cat__Cel_kredytu_retraining|cat__Cel_kredytu_used-car|cat__Czas_zatrudnienia_9|cat__Czas_zatrudnienia_MISSING|cat__Czas_zatrudnienia_four-years|cat__Czas_zatrudnienia_one-year|cat__Czas_zatrudnienia_over-seven|cat__Czas_zatrudnienia_seven-years|cat__Czas_zatrudnienia_unemployed|cat__Plec_i_stan_cywilny_9|cat__Plec_i_stan_cywilny_MISSING|cat__Plec_i_stan_cywilny_female-divorced|cat__Plec_i_stan_cywilny_male-divorced|cat__Plec_i_stan_cywilny_married-male|cat__Plec_i_stan_cywilny_single-male|cat__Czas_od_zamieszkania_1.0|cat__Czas_od_zamieszkania_2.0|cat__Czas_od_zamieszkania_3.0|cat__Czas_od_zamieszkania_4.0|cat__Czas_od_zamieszkania_9.0|cat__Czas_od_zamieszkania_MISSING|cat__Liczba_kredytow_w_banku_1.0|cat__Liczba_kredytow_w_banku_2.0|cat__Liczba_kredytow_w_banku_3.0|cat__Liczba_kredytow_w_banku_4.0|cat__Liczba_kredytow_w_banku_9.0|cat__Liczba_kredytow_w_banku_MISSING|cat__Praca_9|cat__Praca_MISSING|cat__Praca_management|cat__Praca_skilled|cat__Praca_unemployed-non-resident|cat__Praca_unskilled-resident|cat__Liczb_osob_na_utrzymaniu_1.0|cat__Liczb_osob_na_utrzymaniu_2.0|cat__Liczb_osob_na_utrzymaniu_9.0|cat__Liczb_osob_na_utrzymaniu_MISSING|Kredyt
|||0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|good
-1.6083658221793342|||0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|bad
||-1.3999233336219274|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|good
3.4790888557350006|2.011856287998138||0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|good
|||0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|bad
|0.9882510351180297||1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|good
|-0.3759863667530053||0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|good
-0.44390397367894197|-0.35088522855001897||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|good
|||1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|good
-0.4495567010988468|||0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|bad
|-0.5908687095993825||1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|bad
-1.6083658221793342|0.9212719464290496||0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|bad
|||0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|good
|-0.5762218018222934|-0.5469368955193801|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|bad
||-1.0514269289496805|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|good
