Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
480.0|radio-tv|||9|||9.0|skilled|1.0|good
||238040.0||female-divorced|9.0||1.0|||bad
12.0|education|2096.0||single-male|||1.0|unskilled-resident|2.0|good
1680.0||7882.0|seven-years|single-male|9.0|||||good
1920.0|||||4.0|1060.0|2.0|skilled||bad
36.0|||four-years|single-male|9.0|35.0|||2.0|good
480.0||||single-male|4.0|||skilled||good
|9|6948.0|9|single-male|||1.0|9|9.0|good
12.0|radio-tv|3059.0||male-divorced|||1.0|||good
||104680.0|unemployed|married-male|2.0|560.0|2.0|||bad
12.0||25900.0|one-year|||||||bad
|business|||female-divorced|||1.0|9|9.0|bad
12.0||||||22.0|9.0|9||good
|9|||single-male||||||bad
|9||9||9.0|1120.0||skilled|1.0|good
960.0|9||9|9|||1.0|unskilled-resident|1.0|bad
24.0|radio-tv|193920.0|9|single-male|4.0|53.0||||good
|business|161440.0|9|single-male||-500.0|||1.0|good
1920.0|used-car|12579.0|||||9.0||9.0|bad
960.0|9||9||2.0|||9|2.0|good
||2134.0||9||48.0|3.0|||good
120.0||2647.0||single-male|||1.0|skilled||good
||-44820.0|one-year||3.0|||unskilled-resident||good
||36080.0|9||||9.0|9|1.0|good
|furniture|||9||||9|1.0|good
6.0|furniture|1374.0||single-male|||||9.0|good
|radio-tv|426.0||9||39.0|1.0|9||good
|radio-tv|-8180.0|9|female-divorced|3.0|42.0|||9.0|good
|radio-tv|2415.0|||9.0|680.0|1.0|skilled|1.0|good
|business|6836.0|over-seven|9|4.0|-1260.0|2.0|||bad
-360.0||76520.0|||3.0|36.0||9||good
||321600.0||9|2.0|540.0|||1.0|good
18.0|||||2.0||||9.0|good
240.0|||over-seven|||-1140.0|1.0|9||good
|9|-29480.0|one-year|female-divorced|||1.0||1.0|good
900.0|9||||9.0|25.0||unskilled-resident||bad
|education|6110.0|four-years||3.0|||skilled|9.0|good
|9|-42000.0|four-years||||||1.0|bad
||1225.0|||9.0||9.0||9.0|good
||||9||24.0||skilled||good
600.0|||9|single-male|2.0|||management||good
12.0|9|1158.0|four-years||1.0||9.0||1.0|good
18.0||6204.0|||||1.0||9.0|good
1200.0|used-car||seven-years||9.0|24.0|||9.0|good
48.0||6143.0|||9.0|||9|1.0|bad
