Czas_trwania_konta|Cel_kredytu|Kwota_kredytu|Czas_zatrudnienia|Plec_i_stan_cywilny|Czas_od_zamieszkania|Wiek|Liczba_kredytow_w_banku|Praca|Liczb_osob_na_utrzymaniu|Kredyt
6.0|radio-tv|1169.0|over-seven|single-male|4.0|67.0|2.0|skilled|1.0|good
48.0|radio-tv|5951.0||||22.0|1.0|skilled|1.0|bad
12.0|education|2096.0|seven-years|single-male|3.0|49.0|1.0|unskilled-resident|2.0|good
||7882.0||9|4.0||1.0|skilled|2.0|good
|new-car|4870.0|four-years||9.0|53.0|2.0|skilled|2.0|bad
36.0|education|905500.0|four-years||||9.0||2.0|good
24.0|furniture||9|single-male|4.0|-1325.0|1.0|skilled|1.0|good
36.0|9||four-years|single-male||35.0|1.0|9||good
12.0|radio-tv||seven-years|9|4.0|61.0|1.0|unskilled-resident|1.0|good
30.0|new-car|5234.0|unemployed|married-male|2.0|28.0|2.0|9|1.0|bad
12.0|new-car||one-year||1.0|25.0||skilled|1.0|bad
48.0|business|4308.0|9|female-divorced||24.0|1.0|||bad
12.0|9|1567.0|four-years|female-divorced|9.0|||skilled|1.0|good
24.0||||single-male|4.0|60.0|9.0|unskilled-resident||bad
15.0|new-car||four-years|female-divorced|9.0|28.0|9.0|skilled||good
||1282.0|four-years||2.0|32.0|1.0|9|1.0|bad
1200.0|radio-tv|2424.0|over-seven|9|4.0|53.0|9.0|skilled|1.0|good
30.0|business|807200.0|9|||||skilled|1.0|good
24.0|used-car|-314475.0|over-seven|female-divorced|2.0|44.0||9|1.0|bad
24.0|radio-tv|3430.0|over-seven|single-male|2.0|-775.0||skilled|2.0|good
|new-car|2134.0|9|single-male|9.0|1200.0|9.0|skilled|1.0|good
6.0|radio-tv|2647.0|four-years|single-male|3.0|44.0||skilled||good
500.0|new-car|2241.0|one-year||3.0|-1200.0|2.0|unskilled-resident||good
300.0|used-car||one-year|single-male|9.0|-1100.0|9.0|||good
10.0|furniture||four-years|married-male|1.0|26.0|2.0|skilled|9.0|good
6.0|furniture||four-years||9.0|||9|1.0|good
6.0|radio-tv|426.0|over-seven|married-male|4.0|39.0|1.0||9.0|good
|radio-tv|409.0||female-divorced|||||1.0|good
7.0|radio-tv|2415.0||single-male|9.0|34.0|1.0||1.0|good
|business|683600.0|over-seven|single-male|9.0|-1575.0|2.0|skilled|1.0|bad
-450.0|business|1913.0||married-male|3.0|1800.0|1.0|9|9.0|good
24.0|furniture|4020.0|four-years|single-male|2.0|27.0|9.0|skilled|9.0|good
18.0|new-car|5866.0||single-male|2.0|-750.0|9.0|skilled|1.0|good
12.0|9|1264.0|over-seven|single-male|4.0|5700.0||unskilled-resident|1.0|good
12.0|9|||female-divorced|1.0|||9|1.0|good
45.0||4746.0|9|single-male|2.0|25.0|9.0|unskilled-resident|1.0|bad
4800.0|9|6110.0|9||3.0|1550.0|9.0|skilled|1.0|good
900.0|radio-tv|210000.0|four-years||9.0||9.0|skilled|1.0|bad
10.0|domestic-app||four-years|9|2.0|37.0|1.0|skilled|1.0|good
225.0|radio-tv|22900.0|||||1.0|skilled|1.0|good
30.0|9|2333.0||9|9.0|30.0||management|1.0|good
|radio-tv|-28950.0|9|male-divorced|9.0|26.0|9.0|skilled|1.0|good
18.0||6204.0|four-years|single-male|4.0|44.0|1.0|unskilled-resident|2.0|good
|used-car|-154675.0|seven-years|married-male|4.0|24.0|9.0|skilled||good
48.0|used-car|6143.0|over-seven|female-divorced|4.0|58.0||unskilled-resident|1.0|bad
11.0|9|1393.0|one-year||4.0|35.0|2.0|management||good
36.0|radio-tv|57475.0|over-seven|single-male||3900.0||9||good
150.0|used-car|1352.0|9|female-divorced|9.0|23.0||9|1.0|good
